stulinr;posnr;menge;artnr;artbez1
61.02.0277;60;2;10.10.0047;6-kt-Muttern 0,8 d
61.02.0277;65;2;10.10.0045;6-kt-Muttern 0,8 d
61.02.0277;70;4;10.10.0184;6-kt-Schrauben
61.02.0277;135;2;10.10.0682;Sicherungsringe für Wellen
61.02.0277;140;4;10.10.0945;U-Scheiben
61.02.0298;280;1;61.03.0088;Baugrp Haspelachse
61.03.0088;40;2;10.20.0029;Rillenkugellager 6206 2RS
61.03.0088;70;1;61.03.0138;Distanzring
61.03.0088;80;1;61.03.0139;Lageraufnahme
61.03.0088;60;1;61.03.0140;Achsgriff
61.03.0088;90;1;61.03.0137;Haspelachse
61.03.0088;10;1;10.10.01150;Passcheiben
61.03.0088;20;2;10.10.0637;Sicherungsringe für Bohrungen
61.03.0088;30;1;10.10.0679;Sicherungsringe für Wellen
61.03.0088;50;1;10.10.1062;Spannhülsen schwer
61.02.0298;290;1;61.02.0126;Baugrp Seilführungsarm
61.02.0126;10;1;12.89.1002;Lastmessbolzen 25kN, Ø25h6, 4-20mA
61.02.0126;20;1;10.43.0009;Halteseil, rostfrei mit 2 Schlüsselringe
61.02.0126;30;2;10.10.0063;6-kt-Schrauben
61.02.0126;50;2;10.10.0346;Gewindestifte mit Kegelkuppe
61.02.0126;60;3;10.10.01284;ZK-Schrauben I-6-kt.
61.02.0126;80;2;10.10.0636;Sicherungsringe für Bohrungen
61.02.0126;90;2;10.10.0684;Sicherungsringe für Wellen
61.02.0126;100;2;10.10.0665;Sicherungsring für Wellen
61.02.0126;110;2;10.10.01200;Sicherungsringe für Wellen
61.02.0126;120;1;10.10.01364;Flügelschrauben
61.02.0126;130;2;10.10.0933;U-Scheiben
61.02.0126;140;1;10.10.0940;U-Scheiben
61.02.0126;170;2;10.39.0023;Normdruckfeder d=0.8, D=6.3, Lo=23mm
61.02.0126;180;1;10.30.0003;Kugelknopf DIN 319 Pr, Form C, 40mm, M10
61.02.0126;200;3;10.20.0008;Rillenkugellager 6304
61.02.0126;210;1;10.20.0005;Rillenkugellager 61908
61.02.0126;220;1;10.20.0007;Rillenkugellager 6005 2RS
61.02.0126;230;1;10.10.1004;Vorstecker einfach Ø3
61.02.0126;240;2;10.10.1042;Sechskant-Verlängerungsmutter 3d
61.02.0126;250;1;10.20.0004;Axial Rillenkugellager
61.02.0126;260;1;61.02.0144;Baugruppe Schutz Längenmessung
61.02.0144;10;1;61.02.0145;Schutzblech hinten
61.02.0144;20;1;61.02.0146;Schutzblech vorne
61.02.0126;270;1;61.02.0141;Baugruppe Schutzrohr
61.02.0141;10;1;61.02.0142;Schutzrohr
61.02.0141;20;2;61.02.0143;Lasche
61.02.0126;280;1;61.02.0136;Baugruppe Support Seilführungsarm
61.02.0136;10;1;61.02.0137;Grundplatte
61.02.0136;20;1;61.02.0138;Platte hinten
61.02.0136;30;1;61.02.0139;Spickel
61.02.0136;40;1;61.02.0140;Platte vorne
61.02.0126;150;2;12.31.0017;Sensor induktiv
61.02.0126;160;2;12.31.0020;Steckverbinder M12, 4-polig, 90°
61.02.0126;190;1;10.44.0044;Sterngriff M5
61.02.0126;290;1;61.02.0127;Baugrp Seilführungsarm geschweisst
61.02.0127;10;1;10.10.0022;6-kt-Muttern
61.02.0127;20;1;61.02.0128;Längenmessplatte
61.02.0127;30;1;61.02.0129;Seitenteil links
61.02.0127;40;1;61.02.0130;Seitenteil rechts
61.02.0127;50;1;61.02.0131;Distanzhalter
61.02.0127;60;1;61.02.0132;Lagergehäuse Seilführungsarm
61.02.0127;70;2;61.02.0133;Lagerauge
61.02.0127;80;2;61.02.0134;Zapfenführung
61.02.0127;90;1;61.02.0135;Führungsrohr
61.02.0135;10;1;40.10.3247;Stahlrohr präz. nahtl. E235 (St 35)
61.02.0126;300;1;61.02.0147;Verdrehsicherung
61.02.0126;310;1;61.02.0148;Kraftmesshülse
61.02.0126;320;1;61.02.0149;Kraftmessrolle
61.02.0126;330;1;61.02.0150;Längenmessrolle (KZW10)
61.02.0126;340;1;61.02.0151;Hebel
61.02.0126;350;2;61.02.0152;Druckstift
61.02.0126;360;1;61.02.0153;Umlenkachse
61.02.0126;370;1;61.02.0154;Umlenkhülse
61.02.0126;380;1;61.02.0155;Achse
61.02.0126;390;2;61.02.0156;Distanzscheibe
61.02.0126;400;1;61.02.0157;Scheibe
61.02.0126;165;1;12.31.0021;Steckverbinder M12, 4-polig, gerade
61.02.0126;166;2;10.80.0071;Wellrohr NW10, schwarz
61.02.0126;167;1;12.19.0108;RSG Gummiklammer 12
