liefnr,majesty_name,majesty_name_norm,ifas_nummer,ifas_name,match_method,match_score,auto_accepted,wbz
95009,FERROFLEX AG,ferroflex,002093,Ferroflex AG,exact_norm,1.0,1,
76033,FGS GmbH,fgs,002023,FGS GmbH,exact_norm,1.0,1,
76003,Fischer & Cie. AG,fischer und cie,001160,Fischer & Cie. AG,exact_norm,1.0,1,
76010,Fornara AG,fornara,001343,Fornara AG,exact_norm,1.0,1,
76005,Paul Forrer AG,paul forrer,001123,Paul Forrer AG,exact_norm,1.0,1,
76030,Friedli Pferdetransporter GmbH,friedli pferdetransporter,002101,Friedli Pferdetransporter GmbH,exact_norm,1.0,1,
76027,Fronius Schweiz AG,fronius schweiz,001452,Fronius Schweiz AG,exact_norm,1.0,1,
76037,Fugendichtband24,fugendichtband24,001759,Fugendichtband24 GmbH,exact_norm,1.0,1,
77036,Gallagher Schweiz AG,gallagher schweiz,001494,Gallagher Schweiz AG,exact_norm,1.0,1,
81028,galtec ag,galtec,001045,galtec ag,exact_norm,1.0,1,14
77035,Gefahrgut-Shop GmbH,gefahrgut shop,001041,Gefahrgut-Shop GmbH,exact_norm,1.0,1,
77021,Geiser AG,geiser,001161,W. & O. Geiser AG,candidate,0.99,1,
77032,Gerd Hacker Handels Gmbh,gerd hacker handels,001162,Gerd Hacker Handels GmbH,exact_norm,1.0,1,
77014,GGT Gleitlager AG,ggt gleitlager,001338,GGT Gleitlager AG,exact_norm,1.0,1,
77002,GIS AG,gis,002060,GIS AG,exact_norm,1.0,1,
77022,GLAMETEC GmbH,glametec,001790,Glametec GmbH,exact_norm,1.0,1,
77003,Glas Trösch AG,glas trosch,001163,Glas Trösch AG,exact_norm,1.0,1,
77006,Grünig GmbH,grunig,002094,Grünig GmbH,exact_norm,1.0,1,
77023,Grüter Handels AG,gruter handels,001368,Grüter Handels AG,exact_norm,1.0,1,
77033,Gummischwarz AG,gummischwarz,001164,Gummischwarz AG,exact_norm,1.0,1,
78047,Hans Meier AG,hans meier,002200,Hans Meier AG,exact_norm,1.0,1,
78003,HANSA-FLEX,hansa flex,001063,HANSA-FLEX Hydraulik AG,candidate,0.99,1,35,
78004,Dr. C. Hanser AG,dr c hanser,001061,Dr. C. Hanser AG,exact_norm,1.0,1,14
78006,Malerei M. Hartmann GmbH,malerei m hartmann,000951,Malerei M. Hartmann GmbH,exact_norm,1.0,1,14
78009,Hans Wegmüller AG,hans wegmuller,000965,Hans Wegmüller AG,exact_norm,1.0,1,14
78029,Hans Wegmüller AG,hans wegmuller,000965,Hans Wegmüller AG,exact_norm,1.0,1,14
78010,Ernst Hausammann & Co. AG,ernst hausammann und,001560,Ernst Hausammann & Co. AG,exact_norm,1.0,1,
78022,HB Systeme GmbH,hb systeme,001402,HB Systeme GmbH,exact_norm,1.0,1,
78068,HEBETECH AG,hebetech,001167,Hebetech AG,exact_norm,1.0,1,
78020,HRB Heinemann AG,hrb heinemann,001348,HRB Heinemann AG,exact_norm,1.0,1,50,
78044,Heiniger Kabel AG,heiniger kabel,002045,Heiniger Kabel AG,exact_norm,1.0,1,
78057,Heizmann AG,heizmann,001168,Heizmann AG,exact_norm,1.0,1,
78066,Helukabel AG,helukabel,001169,Helukabel AG,exact_norm,1.0,1,
78053,HFT Fasteners AG,hft fasteners,001027,HFT Fasteners AG,exact_norm,1.0,1,
78028,HKM-MESSTECHNIK GMBH,hkm messtechnik,001651,HKM-Messtechnik GmbH,exact_norm,1.0,1,90
78037,HOELZLE AG,hoelzle,001170,Hoelzle AG,exact_norm,1.0,1,14
78039,Hofmann PU-Elastomere AG,hofmann pu elastomere,002167,Hofmann PU-Elastomere AG,exact_norm,1.0,1,14
78019,Hofstetter,hofstetter,001744,Hofstetter + Co. AG,exact_norm,1.0,1,28,
78054,Holoubek trade s.r.o.,holoubek trade s r o,001740,Holoubek trade s. r. o.,exact_norm,1.0,1,
78038,H. P. Holzer AG,h p holzer,001002,H.P. HOLZER AG,exact_norm,1.0,1,21
78021,HRB Heinemann AG,hrb heinemann,001348,HRB Heinemann AG,exact_norm,1.0,1,
78061,Humbaur GmbH,humbaur,001379,Humbaur GmbH,exact_norm,1.0,1,
78063,Hydraproducts Limited,hydraproducts limited,001171,Hydraproducts Limited,exact_norm,1.0,1,
78007,Häsag AG,hasag,001166,Häsag AG,exact_norm,1.0,1,
78042,Hässig + Co. AG,hassig,002106,Hässig + Co. AG,exact_norm,1.0,1,
78031,Högger Systems AG,hogger systems,001046,Högger Systems AG,exact_norm,1.0,1,21
79019,IBA / OWIBA AG,iba owiba,001139,OWIBA AG,candidate,0.99,1,
79001,Alfred Imhof AG,alfred imhof,002119,Alfred Imhof AG,exact_norm,1.0,1,
79016,Immer AG,immer,001653,IMMER AG,exact_norm,1.0,1,
79018,Indrivetec AG,indrivetec,001172,Indrivetec AG,exact_norm,1.0,1,
79002,Ingold Industriebedarf,ingold industriebedarf,001107,Ingold AG Industriebedarf,exact_norm,1.0,1,
79013,ISO OERLIKON AG,iso oerlikon,001047,ISO OERLIKON AG,exact_norm,1.0,1,
80002,Jakob AG,jakob,001054,Jakob AG,exact_norm,1.0,1,14
80010,JAKOB AG,jakob,001054,Jakob AG,exact_norm,1.0,1,14
80004,Jost Landtechnik AG,jost landtechnik,001091,Jost / Landtechnik AG,exact_norm,1.0,1,
88001,Kellenberg Roll-Technik AG,kellenberg roll technik,001360,Kellenberg Roll-Technik AG,exact_norm,1.0,1,21,
81005,Kindlimann AG,kindlimann,001864,Kindlimann AG,exact_norm,1.0,1,
81006,Klaus-Häberlin AG,klaus haberlin,000962,Klaus-Häberlin AG,exact_norm,1.0,1,21,
81021,Klaus-Häberlin AG,klaus haberlin,000962,Klaus-Häberlin AG,exact_norm,1.0,1,21,
81042,Koch Group AG,koch group,001173,Koch Group AG,exact_norm,1.0,1,
81014,Hans Kohler AG,hans kohler,001165,Hans Kohler AG,exact_norm,1.0,1,14
81032,Kramp GmbH,kramp,001174,Kramp Schweiz,candidate,0.99,1,
81038,Kronenberg,kronenberg,002079,Kronenberg Maschinen & Fahrzeuge AG,candidate,0.99,1,
81010,Kubo Tech AG,kubo tech,001049,Kubo Tech AG,exact_norm,1.0,1,14,
81001,Kiener+Wittlin AG,kiener wittlin,001592,Kiener + Wittlin AG,exact_norm,1.0,1,14
82014,Labelident GmbH,labelident,001378,Labelident GmbH,exact_norm,1.0,1,
82002,Landi Region  Langnau AG,landi region langnau,001073,LANDI Region Langnau AG,exact_norm,1.0,1,
82008,Laserteam AG,laserteam,001175,Laserteam AG,exact_norm,1.0,1,21
82029,H. Lauenstein AG,h lauenstein,001090,Lauenstein AG,candidate,0.99,1,
82019,Lerch AG,lerch,001373,Lerch AG,exact_norm,1.0,1,28
82021,Levo Batterien AG,levo batterien,001028,Levo-Batterien AG,exact_norm,1.0,1,21,
82006,Liechti AG,liechti,001832,Liechti Kälte AG,candidate,0.99,1,
82026,Liechti Kälte AG,liechti kalte,001832,Liechti Kälte AG,exact_norm,1.0,1,
82018,Linaxis AG,linaxis,001459,Linaxis AG,exact_norm,1.0,1,
82023,Luder Technik AG,luder technik,001632,Luder Technik AG,exact_norm,1.0,1,
82028,Luftech Schweiz AG,luftech schweiz,001176,Luftech Schweiz AG,exact_norm,1.0,1,
83004,Maagtechnic,maagtechnic,000954,Maagtechnic AG,exact_norm,1.0,1,14
83008,Mako Laser AG,mako laser,001177,MaKo laser ag,exact_norm,1.0,1,21
83027,Matik AG,matik,001178,Matik AG,exact_norm,1.0,1,14
83023,MC Control GmbH,mc control,001053,MC Control GmbH,exact_norm,1.0,1,21,
83032,L. Meili & Co. AG,l meili und,001349,L. Meili & Co. AG,exact_norm,1.0,1,21,
83025,Meyer BlechTechnik AG,meyer blechtechnik,001179,Meyer BlechTechnik AG,exact_norm,1.0,1,21
83034,Meyer BlechTechnik AG Buttisholz,meyer blechtechnik buttisholz,001059,Meyer BlechTechnik AG Buttisholz,exact_norm,1.0,1,21
83026,MIBAG AG,mibag,001778,MIBAG AG,exact_norm,1.0,1,
