Markenname;Werkstoff;EN ;US Grades;AFNOR;Bemerkung;Produktgruppe;Daten
;1.2833;100V2;W2;;;Werkzeugstahl;
;1.2842;90MnCrV8;O2;90 MV 8;;Werkzeugstahl;
;1.2880;X165CrCoMo12;D5;;;Werkzeugstahl;
;1.2884;X210CrCoW12;D4;;;Werkzeugstahl;
;1.2990;X100CrMoV8-1-1;;;;Werkzeugstahl;
WKE42;1.3207;HSS 10-4-3-10;M44;;;Konv. HSS-Stahl;PDF
WKE45;1.3208;HS 9-4-4-11;;;;Konv. HSS-Stahl;PDF
C8;1.3209;HS 5-6-2-8;;;;Konv. HSS-Stahl;
E M35;1.3243;HS 6-5-2-5;M35;;;Konv. HSS-Stahl;PDF
E M42;1.3247;HS 2-9-1-8;M42;;;Konv. HSS-Stahl;PDF
Mat ll;1.3270;HS 1-5-1-8;;;;Konv. HSS-Stahl;
;1.3302;HS 12-1-4;;;;Konv. HSS-Stahl;
M50;1.3325;HS 0-4-1;;;;Konv. HSS-Stahl;
ABC lll;1.3333;HS 3-3-2;;;;Konv. HSS-Stahl;
E M 2;1.3343;HS 6-5-2;M2;;auch ESU;Konv. HSS-Stahl;PDF
E M 3-2;1.3344;PMHS 6-5-3;M 3 Cl. 2;;;Konv. HSS-Stahl;PDF
M1;1.3346;HS 2-9-1;M1;;;Konv. HSS-Stahl;
M7;1.3348;HS 2-9-2;M7;;;Konv. HSS-Stahl;
M3:1;1.3350;HS 6-6-2;M3:1;;;Konv. HSS-Stahl;
M4;1.3351;HS 6-5-4;M4;;;Konv. HSS-Stahl;
E T 1;1.3355;HS 18-0-1;T1;;;Konv. HSS-Stahl;
Hartmanganstahl;1.3401;X120Mn12;A 128;Z 120 M 12;;Edelbaustahl;
;1.3505;100Cr6;;Y 100 C 6;+AC;Edelbaustahl;
;1.3536;100CrMo7-3;;;+AC;Edelbaustahl;
;1.3551;80MoCrV42-16;M 50;80 DCV 40;;Sonderwerkstoff;
;1.3813;X40MnCrN19;;;;Sonderwerkstoff;
;1.3817;X40MnCr18;;;;Sonderwerkstoff;
Invar 36;1.3912;Ni36;K93600;Fe-Ni 36;Alloy 36;Sonderwerkstoff;
Invar 42;1.3917;Ni42;K94100;;Alloy 42;Sonderwerkstoff;
N48;1.3922;Ni48;K94800;;;Sonderwerkstoff;
;1.3952;X2CrNiMoN18-14-3;;;;Sonderwerkstoff;
;1.3964;X2CrNiMnMoNNb21-16-5-3;Alloy 50 / XM-19;;;Sonderwerkstoff;
;1.3974;X2CrNiMnMoNNb23-17-6-3;F49;;;Sonderwerkstoff;
;1.3980;X5NiCrTiMoV26-15;S66286;;amagnetischer Stahl;Sonderwerkstoff;
;1.3981;NiCo29/18;K94610;;;Sonderwerkstoff;
Dilver P1;1.3991;FeNi29 Co17;K94610;;;Sonderwerkstoff;
;1.4000;X6Cr13;403;;;Rostfreier Stahl;
;1.4005;X12CrS13;416;Z 11 CF 13;;Rostfreier Stahl;
;1.4006;X12Cr13;410;Z 13 C 13;auch ESU;Rostfreier Stahl;
;1.4016;X6Cr17;430;Z 8 C 17;;Rostfreier Stahl;
;1.4021;X20Cr13;420;Z 20 C 13;;Rostfreier Stahl;
;1.4028;X30Cr13;420F;Z 33 C 13;;Rostfreier Stahl;
;1.4031;X39Cr13;420;;;Rostfreier Stahl;
;1.4034;X46Cr13;420;Z 44 C 14;;Rostfreier Stahl;
;1.4044;X22CrNi17;;;;Rostfreier Stahl;
;1.4057;X17CrNi16-2;431;Z 15 CN 16-02;auch ESU;Rostfreier Stahl;
;1.4104;X14CrMoS17;430F;Z 13 CF 17;;Rostfreier Stahl;
;1.4105;X6CrMoS17;430F;;;Rostfreier Stahl;
;1.4106;;;;;Rostfreier Stahl;
;1.4107;GX8CrNi12;A217;;;Rostfreier Stahl;
;1.4108;X30CrMoN15-1;UNS 42027;;;Rostfreier Stahl;
;1.4109;X70CrMo15;440A;;;Rostfreier Stahl;
;1.4112;X90CrMoV18;440B;X 89 CrMo V 18-1;;Rostfreier Stahl;
;1.4113;X6CrMo17-1;434;;
