type;artnr;artbez1;zeichnr;depth;posnr;menge;stulinr;tree_depth;tree_artnr;tree_artbez1;tree_zeichnr
Laser Fertigungsteil;root_article;;;0;;;;;;;
;;;;;;;;0;root_article;;
