stulinr;posnr;artnr;artsuch;variante;prioritaet;teil;aplabezug;menge;abstich;einheit;teil_aus;reststueck;restmm;ausschuss;stahl;htoleranz;bemmem;laenge;breite;anzahl;kostst;beistell;aus_cad;aus_lipl;antamgew;fixmenge;messingbas;freigabe;satzid;aplaid;ubox1;ubox2;ubox3;ubox4;ubox5;utext1;utext2;utext3;utext4;utext5;utext6;utext7;utext8;utext9;utext10;neu_datum;neu_user;aend_datum;aend_user
;10;1 36 0573;???;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383016_3DR14PQR2510850410;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;07.06.2011;01/007-SRV-CTS-01 # cad2;07.06.2011;01/007-SRV-CTS-01 # cad2
;20;10.10.0072;6-KT-SCHRAUBEN;;0;1;0;6;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTP990140536;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;30;10.10.0934;U-SCHEIBEN;;0;1;0;4;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTQ707788918;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;40;10.10.0536;PH-SCHRAUBEN;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTR905826926;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;50;10.10.0808;SPANNHÜLSEN SCHWER;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTS168215580;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;60;10.10.0993;U-SCHEIBEN CARROSSERIE;;0;1;0;2;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTT842938388;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;70;10.10.01212;KETTE Ø2.5;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTU156501085;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;80;61.02.0010;BAUGRP HALTERUNG;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTV938291095;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;90;61.02.0011;ROLLE;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTW207958114;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;100;61.02.0012;ACHSE;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTX763960327;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;110;61.02.0013;STECKNAGEL;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTY627626342;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;120;61.02.0014;GLEITLAGER;;0;1;0;6;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQTZ818790854;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
;130;40.10.7041;LASERTEIL STECKNAGELSI;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468383032_3DR14PQU0377221974;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.06.2011;01/007-SRV-CTS-01 # cad2;27.06.2011;01/007-SRV-CTS-01 # cad2
10.10.0002;10;10.10.0001;6-KT-HOLZSCHRAUBEN;;0;1;0;5;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468382626_3DR14POIJ301108966;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;13.09.2010;01/004-SRV-CTS-01 # rschuepbach;13.09.2010;01/004-SRV-CTS-01 # rschuepbach
10.10.0003;10;10.10.0001;6-KT-HOLZSCHRAUBEN;;0;1;0;11;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468382626_3DR14POIK731944642;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;13.09.2010;01/004-SRV-CTS-01 # rschuepbach;13.09.2010;01/004-SRV-CTS-01 # rschuepbach
12.10.0023;10;12.10.0158;KUGELKUPPLUNG;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01053296821_6700VQC39253643393;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;17.11.2021;03/010-JOS-PC02 # aschuepbach;17.11.2021;03/010-JOS-PC02 # aschuepbach
12.18.0002;10;ROSTA AUFLAUFBREMSE 25;???;;0;1;0;0;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468382641_3DR14POMH  4201174;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;28.09.2010;01/004-SRV-CTS-01 # cad1;28.09.2010;01/004-SRV-CTS-01 # cad1
12.18.0003;10;KUGELKUPPLUNG, TYP AK;???;;0;1;0;0;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468382641_3DR14POMI433198704;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;28.09.2010;01/004-SRV-CTS-01 # cad1;28.09.2010;01/004-SRV-CTS-01 # cad1
12.33.0013;10;12.74.0008;AXIALKOLBEN-VERSTELLPU;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;WAHR;FALSCH;FALSCH;0;FALSCH;;FALSCH;01057361302_4FX0Y5G9I 82453177;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;09.09.2015;01/010-W7-02 # cad1;09.09.2015;01/010-W7-02 # cad1
12.33.0013;20;12.74.0011;DURCHTRIEB BONDIOLI 21;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;WAHR;FALSCH;FALSCH;0;FALSCH;;FALSCH;01057361368_4FX0Y5GBC188438751;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;09.09.2015;01/010-W7-02 # cad1;09.09.2015;01/010-W7-02 # cad1
12.33.0013;30;12.61.0003;KONUSLAGER 75 SHORE;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;WAHR;FALSCH;FALSCH;0;FALSCH;;FALSCH;01057361431_4FX0Y5GD3786684659;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;09.09.2015;01/010-W7-02 # cad1;09.09.2015;01/010-W7-02 # cad1
12.33.0013;40;12.62.0099;SCHLAUCHSATZ RUFENER K;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;WAHR;FALSCH;FALSCH;0;FALSCH;;FALSCH;01057361518_4FX0Y5GFI357429902;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;09.09.2015;01/010-W7-02 # cad1;09.09.2015;01/010-W7-02 # cad1
12.33.0013;50;12.62.0098;SCHLAUCHSATZ KZW 20/RK;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01057361580_4FX0Y5GH8839230833;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;09.09.2015;01/010-W7-02 # cad1;09.09.2015;01/010-W7-02 # cad1
12.33.0013;60;40.10.4026;LOCHBLECH;;0;1;0;0,5;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01057361649_4FX0Y5GJ5425760762;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;09.09.2015;01/010-W7-02 # cad1;09.09.2015;01/010-W7-02 # cad1
12.51.0013;10;12.78.0008;BESCHRIFTUNG;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468382954_3DR14PQC5705630357;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;15.04.2011;01/004-SRV-CTS-01 # rschuepbach;15.04.2011;01/004-SRV-CTS-01 # rschuepbach
12.60.0015;10;10.10.0934;U-SCHEIBEN;;0;1;0;2;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00737096875_4K00M344R990577719;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;01.02.2016;01/007-JOS-NB06 # p.hunziker;01.02.2016;01/007-JOS-NB06 # p.hunziker
12.60.0015;20;10.10.0044;6-KT-MUTTERN 0,8 D;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00739089915_4K00N9TYZ695065524;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;01.02.2016;01/007-JOS-NB06 # p.hunziker;01.02.2016;01/007-JOS-NB06 # p.hunziker
12.60.0015;50;61.03.6091;BAUGRP BREMSVERSTELLUN;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00757338600_4K00Y4YQW723259505;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;01.02.2016;01/007-JOS-NB06 # p.hunziker;01.02.2016;01/007-JOS-NB06 # p.hunziker
12.60.0015;60;60.17.0172;AUSSENGEWINDESTÜCK;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00728662781_4ZZ0H2CCD 69742407;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;28.08.2017;01/007-TILA-RDS01 # maschine;28.08.2017;01/007-TILA-RDS01 # maschine
12.60.0015;80;61.03.6218;BAUGRP. BREMSBAND;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00739947672_4ZZ0NS7TK433906262;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;28.08.2017;01/007-TILA-RDS01 # maschine;28.08.2017;01/007-TILA-RDS01 # maschine
12.64.0102;10;12.21.0035;KABELBAUM FÜR DYNTEST;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;WAHR;FALSCH;FALSCH;0;FALSCH;;FALSCH;01031994018_6J00J1QQQ668540892;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;19.01.2023;03/010-JOS-PC02 # aschuepbach;19.01.2023;03/010-JOS-PC02 # aschuepbach
12.64.0102;20;12.21.0024;STECKER ZU HEIZUNG SMF;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;WAHR;FALSCH;FALSCH;0;FALSCH;;FALSCH;01032028466_6J00J2HBM200763888;;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;(für Strang 9, 2 rote Kabel);;;;;;;;;;19.01.2023;03/010-JOS-PC02 # aschuepbach;19.01.2023;03/010-JOS-PC02 # aschuepbach
12.64.0102;30;12.21.0038;DRUCKSCHLAUCH BLAU;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;WAHR;FALSCH;FALSCH;0;FALSCH;;FALSCH;01032051548_6J00J2Z4S783994010;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;19.01.2023;03/010-JOS-PC02 # aschuepbach;19.01.2023;03/010-JOS-PC02 # aschuepbach
12.64.0103;10;12.30.2014;LADESCHALE 12V INT ELE;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;WAHR;FALSCH;FALSCH;0;FALSCH;;FALSCH;01024529172_4IB0ELQTW793034949;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;04.12.2015;01/010-JOS-PC02 # a.schuepbach;04.12.2015;01/010-JOS-PC02 # a.schuepbach
12.64.0112;10;12.21.0035;KABELBAUM FÜR DYNTEST;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;WAHR;FALSCH;FALSCH;0;FALSCH;;FALSCH;01032403207_6J00JAIH3109965226;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;19.01.2023;03/010-JOS-PC02 # aschuepbach;19.01.2023;03/010-JOS-PC02 # aschuepbach
12.64.0112;20;12.21.0024;STECKER ZU HEIZUNG SMF;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;WAHR;FALSCH;FALSCH;0;FALSCH;;FALSCH;01032428112_6J00JB1OW523910531;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;19.01.2023;03/010-JOS-PC02 # aschuepbach;19.01.2023;03/010-JOS-PC02 # aschuepbach
12.64.0112;30;12.21.0038;DRUCKSCHLAUCH BLAU;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01032441459_6J00JBBZN853442221;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;19.01.2023;03/010-JOS-PC02 # aschuepbach;19.01.2023;03/010-JOS-PC02 # aschuepbach
12.64.0125;10;12.84.0052;KABELSATZ MIT 2 STECKE;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;WAHR;FALSCH;FALSCH;0;FALSCH;;FALSCH;01071460071_5N816JMXZ746327208;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;09.12.2019;03/010-JOS-PC02 # aschuepbach;09.12.2019;03/010-JOS-PC02 # aschuepbach
12.84.0006;10;12.84.0003;KUPPLUNG UNGEBOHRT;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468382829_3DR14PPK0 83456066;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;06.12.2010;01/010-SRV-CTS-01 # cad1;06.12.2010;01/010-SRV-CTS-01 # cad1
14.06.0000;10;14.06.0000-L;SCHEIBE ANPASSUNG HASP;;0;1;0;2;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01057519902_4VP0Y8UN2504167319;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;27.03.2017;03/010-JOS-PC02 # aschuepbach;27.03.2017;03/010-JOS-PC02 # aschuepbach
14.07.0000;10;14.20.0001;SCHLAUFENPRESSEN;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468382735_3DR14PP00892718367;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;26.10.2010;01/003-SRV-CTS-01 # HBerger;26.10.2010;01/003-SRV-CTS-01 # HBerger
14.07.0301;10;61.50.0452;MARDERSCHUTZ 1;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00657392310_6QM0Y646U205884104;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;20.10.2023;01/006-JOS-NB04 # dmollet;20.10.2023;01/006-JOS-NB04 # dmollet
14.07.0301;20;61.50.0453;MARDERSCHUTZ 2;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00657413650_6QM0Y6KNM509718472;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;20.10.2023;01/006-JOS-NB04 # dmollet;20.10.2023;01/006-JOS-NB04 # dmollet
14.07.0301;30;61.50.0454;MARDERSCHUTZ 3;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00657419198_6QM0Y6OXQ805363866;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;20.10.2023;01/006-JOS-NB04 # dmollet;20.10.2023;01/006-JOS-NB04 # dmollet
14.11.0004;10;40.20.2047;ALUFLACH;;0;1;0;0,783;0;1;0;0;0;0;AW-6082;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01037684699_3GK0MFPP7775763938;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;20.03.2012;01/010-SRV-CTS-01 # cad1;20.03.2012;01/010-SRV-CTS-01 # cad1
14.11.0005;10;14.11.0004;SEGMENT;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01029033851_3GL0HAANV223241298;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;21.03.2012;01/010-SRV-CTS-01 # cad1;21.03.2012;01/010-SRV-CTS-01 # cad1
14.11.0005;20;14.11.0003;SEGMENTE BESCHICHTEN;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01029043531_3GL0HAI4R353570079;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;21.03.2012;01/010-SRV-CTS-01 # cad1;21.03.2012;01/010-SRV-CTS-01 # cad1
14.11.0006;10;14.11.0002;SEGMENTE ENTSCHICHTEN;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01032047198_3GL0J2VRY227424791;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;21.03.2012;01/010-SRV-CTS-01 # cad1;21.03.2012;01/010-SRV-CTS-01 # cad1
14.11.0006;20;14.11.0003;SEGMENTE BESCHICHTEN;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01032059621_3GL0J35D1525799312;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;21.03.2012;01/010-SRV-CTS-01 # cad1;21.03.2012;01/010-SRV-CTS-01 # cad1
14.14.0000;10;40.10.3129;STAHLROHR PRÄZ.;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468382923_3DR14PQ4K295887941;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;18.05.2011;01/003-SRV-CTS-01 # HBerger;18.05.2011;01/003-SRV-CTS-01 # HBerger
14.14.0000;20;40.10.3134;STAHLROHR PRÄZ.;;0;1;0;0,29;0;1;0;0;0;0;S235JRG2;;ab Lager;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00468382923_3DR14PQ5U190130689;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;18.05.2011;01/003-SRV-CTS-01 # HBerger;18.05.2011;01/003-SRV-CTS-01 # HBerger
14.25.0001;10;12.10.0101;BREMSSEIL GLOCKE ØA 30;;0;1;0;2;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01044206205_4ER0QBHQ5496509328;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;29.07.2015;01/010-W7-02 # cad1;29.07.2015;01/010-W7-02 # cad1
15.02.0004;10;40.10.8054;WINKELSTAHL;;0;1;0;2;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00460555096_4IS101WM0 94555367;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;24.03.2016;01/003-JOS-NB03 # h.berger;24.03.2016;01/003-JOS-NB03 # h.berger
15.02.0004;20;40.10.8055;WINKELSTAHL;;0;1;0;2;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00461005132_4IS10BJV0344746251;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;24.03.2016;01/003-JOS-NB03 # h.berger;24.03.2016;01/003-JOS-NB03 # h.berger
15.02.0004;30;10.10.01573;BOLZENANKER;;0;1;0;4;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00461651190_4IS10PED3708181337;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;24.03.2016;01/003-JOS-NB03 # h.berger;24.03.2016;01/003-JOS-NB03 # h.berger
15.02.0004;40;10.10.01574;GEWINDESTANGEN, 2 METE;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00461989588_4IS10WNH0583370860;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;24.03.2016;01/003-JOS-NB03 # h.berger;24.03.2016;01/003-JOS-NB03 # h.berger
15.02.0007;10;61.02.0048;UMLENKROLLE ZUGKRAFTME;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01041856569_3K30OX4QH579328116;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;25.07.2012;01/010-SRV-CTS-01 # cad1;25.07.2012;01/010-SRV-CTS-01 # cad1
15.02.0007;20;61.02.0049;DISTANZACHSE ZU LMB LE;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01041872601_3K30OXH3T 27907420;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;25.07.2012;01/010-SRV-CTS-01 # cad1;25.07.2012;01/010-SRV-CTS-01 # cad1
15.02.0007;30;10.20.0005;RILLENKUGELLAGER;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01041880210_3K30OXMZ6502355517;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;25.07.2012;01/010-SRV-CTS-01 # cad1;25.07.2012;01/010-SRV-CTS-01 # cad1
15.02.0007;40;10.10.0634;SICHERUNGSRINGE;;0;1;0;2;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01041900491_3K30OY2MJ428121091;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;25.07.2012;01/010-SRV-CTS-01 # cad1;25.07.2012;01/010-SRV-CTS-01 # cad1
15.02.0007;50;10.10.0684;SICHERUNGSRINGE FÜR WE;;0;1;0;2;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01042023023_3K30P0P67380203506;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;25.07.2012;01/010-SRV-CTS-01 # cad1;25.07.2012;01/010-SRV-CTS-01 # cad1
15.05.0000;10;40.10.21681;FLACHSTAHL ROH;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00452009535_6EH0UYQTB831776329;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;11.08.2022;01/004-JOS-NB05 # wmeyer;11.08.2022;01/004-JOS-NB05 # wmeyer
15.05.0000;20;40.11.50121;FLACHSTAHL BLANK;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00452043806_6EH0UZH9B874379118;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;11.08.2022;01/004-JOS-NB05 # wmeyer;11.08.2022;01/004-JOS-NB05 # wmeyer
15.05.0000;30;40.10.2037;FLACHSTAHL;;0;1;0;3;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00452065441_6EH0UZXY9265073309;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;11.08.2022;01/004-JOS-NB05 # wmeyer;11.08.2022;01/004-JOS-NB05 # wmeyer
15.05.0000;40;40.11.2019;FLACHSTAHL BLANK;;0;1;0;1;0;3;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;00453411352_6EH0VSSGO144101231;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;11.08.2022;01/004-JOS-NB05 # wmeyer;11.08.2022;01/004-JOS-NB05 # wmeyer
15.05.0001;10;40.10.7095;LASERTEIL KLEMMPLATTE;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01030322378_6760I1WWA818974055;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;23.11.2021;03/010-JOS-PC02 # aschuepbach;23.11.2021;03/010-JOS-PC02 # aschuepbach
15.05.0007;10;40.10.7045;LASERTEIL DEICHSELANSC;;0;1;0;1;0;1;0;0;0;0;;;;0;0;0;;FALSCH;FALSCH;FALSCH;0;FALSCH;;FALSCH;01032255319_69Y0J7CD3797087654;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;;01.03.2022;03/010-JOS-PC02 # aschuepbach;01.03.2022;03/010-JOS-PC02 # aschuepbach
